AACSL	empty	AACSP1 (Acetoacetyl-CoA Synthetase Pseudogene 1) is a Pseudogene.	empty	diff
AADAC	Microsomal arylacetamide deacetylase competes against the activity of cytosolic arylamine N-acetyltransferase, which catalyzes one of the initial biotransformation pathways for arylamine and heterocyclic amine carcinogens [provided by RefSeq, Jul 2008]	AADAC (Arylacetamide Deacetylase) is a Protein Coding gene. Diseases associated with AADAC include neutral lipid storage disease and ectropion. GO annotations related to this gene include deacetylase activity. An important paralog of this gene is AADACL3.	Displays cellular triglyceride lipase activity in liver, increases the levels of intracellular fatty acids derived from the hydrolysis of newly formed triglyceride stores and plays a role in very low-density lipoprotein assembly. Displays serine esterase activity in liver. Deacetylates a variety of arylacetamide substrates, including xenobiotic compounds and procarcinogens, converting them to the primary arylamide compounds and increasing their toxicity.	same
AAK1	Adaptor-related protein complex 2 (AP-2 complexes) functions during receptor-mediated endocytosis to trigger clathrin assembly, interact with membrane-bound receptors, and recruit encodytic accessory factors. This gene encodes a member of the SNF1 subfamily of Ser/Thr protein kinases. The protein interacts with and phosphorylates a subunit of the AP-2 complex, which promotes binding of AP-2 to sorting signals found in membrane-bound receptors and subsequent receptor endocytosis. Its kinase activity is stimulated by clathrin. Alternatively spliced transcript variants have been described, but their biological validity has not been determined. [provided by RefSeq, Jul 2008]	AAK1 (AP2 Associated Kinase 1) is a Protein Coding gene. GO annotations related to this gene include protein serine/threonine kinase activity and AP-2 adaptor complex binding. An important paralog of this gene is BMP2K.	Regulates clathrin-mediated endocytosis by phosphorylating the AP2M1/mu2 subunit of the adaptor protein complex 2 (AP-2) which ensures high affinity binding of AP-2 to cargo membrane proteins during the initial stages of endocytosis. Isoform 1 and isoform 2 display similar levels of kinase activity towards AP2M1. Regulates phosphorylation of other AP-2 subunits as well as AP-2 localization and AP-2-mediated internalization of ligand complexes. Phosphorylates NUMB and regulates its cellular localization, promoting NUMB localization to endosomes. Binds to and stabilizes the activated form of NOTCH1, increases its localization in endosomes and regulates its transcriptional activity.	same
A2LD1	The protein encoded by this gene aids in the proteolytic degradation of crosslinked fibrin by breaking down isodipeptide L-gamma-glutamyl-L-epsilon-lysine, a byproduct of fibrin degradation. The reaction catalyzed by the encoded gamma-glutamylaminecyclotransferase produces 5-oxo-L-proline and a free alkylamine. Two transcript variants encoding the same protein have been found for this gene.[provided by RefSeq, Aug 2010]	GGACT (Gamma-Glutamylamine Cyclotransferase) is a Protein Coding gene. GO annotations related to this gene include gamma-glutamylcyclotransferase activity.	Contributes to degradation of proteins cross-linked by transglutaminases. Degrades the cross-link between a lysine and a glutamic acid residue from two proteins that have been cross-linked by transglutaminases. Catalyzes the formation of 5-oxoproline from L-gamma-glutamyl-L-epsilon-lysine. Inactive with L-gamma-glutamyl-alpha-amino acid substrates such as L-gamma-glutamyl-L-alpha-cysteine and L-gamma-glutamyl-L-alpha-alanine.	diff
AAGAB	The protein encoded by this gene interacts with the gamma-adaptin and alpha-adaptin subunits of complexes involved in clathrin-coated vesicle trafficking. Mutations in this gene are associated with type I punctate palmoplantar keratoderma. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Dec 2012]	AAGAB (Alpha- And Gamma-Adaptin Binding Protein) is a Protein Coding gene. Diseases associated with AAGAB include keratoderma, palmoplantar, punctate type ia and keratoderma.	May be involved in endocytic recycling of growth factor receptors such as EGFR.	same
AACS	empty	AACS (Acetoacetyl-CoA Synthetase) is a Protein Coding gene. Diseases associated with AACS include tracheal cancer. Among its related pathways are Butanoate metabolism. GO annotations related to this gene include butyrate-CoA ligase activity and acetoacetate-CoA ligase activity. An important paralog of this gene is ACSS3.	Activates acetoacetate to acetoacetyl-CoA. May be involved in utilizing ketone body for the fatty acid-synthesis during adipose tissue development (By similarity).	same
AAMP	The gene is a member of the immunoglobulin superfamily. The encoded protein is associated with angiogenesis, with potential roles in endothelial tube formation and the migration of endothelial cells. It may also regulate smooth muscle cell migration via the RhoA pathway. The encoded protein can bind to heparin and may mediate heparin-sensitive cell adhesion. [provided by RefSeq, Oct 2014]	AAMP (Angio-Associated, Migratory Cell Protein) is a Protein Coding gene. Diseases associated with AAMP include colon adenocarcinoma and adenocarcinoma. Among its related pathways are Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways. GO annotations related to this gene include heparin binding. An important paralog of this gene is WDR61.	Plays a role in angiogenesis and cell migration. In smooth muscle cell migration, may act through the RhoA pathway.	same
AADACL2	empty	AADACL2 (Arylacetamide Deacetylase-Like 2) is a Protein Coding gene. An important paralog of this gene is AADAC.	empty	same
AAA1	empty	AAA1 (Aortic Aneurysm, Familial Abdominal 1) is a Protein Coding gene. Diseases associated with AAA1 include aneurysm and abdominal aortic aneurysm.	empty	same
AADACL4	empty	AADACL4 (Arylacetamide Deacetylase-Like 4) is a Protein Coding gene. An important paralog of this gene is AADAC.	empty	same
A4GNT	This gene encodes a protein from the glycosyltransferase 32 family. The enzyme catalyzes the transfer of N-acetylglucosamine (GlcNAc) to core 2 branched O-glycans. It forms a unique glycan, GlcNAcalpha1-->4Galbeta-->R and is largely associated with the Golgi apparatus membrane. [provided by RefSeq, Jul 2008]	A4GNT (Alpha-1,4-N-Acetylglucosaminyltransferase) is a Protein Coding gene. Among its related pathways are heparan sulfate biosynthesis and heparan sulfate biosynthesis. GO annotations related to this gene include galactosyltransferase activity and acetylglucosaminyltransferase activity. An important paralog of this gene is A4GALT.	Necessary for the synthesis of type III mucin. Catalyzes the transfer of N-acetylglucosamine (GlcNAc) to core 2 branched O-glycans	same
AAAS	The protein encoded by this gene is a member of the WD-repeat family of regulatory proteins and may be involved in normal development of the peripheral and central nervous system. The encoded protein is part of the nuclear pore complex and is anchored there by NDC1. Defects in this gene are a cause of achalasia-addisonianism-alacrima syndrome (AAAS), also called triple-A syndrome or Allgrove syndrome. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Mar 2010]	AAAS (Achalasia, Adrenocortical Insufficiency, Alacrimia) is a Protein Coding gene. Diseases associated with AAAS include achalasia-addisonianism-alacrimia syndrome and abdominal aortic aneurysm. Among its related pathways are Disease and Cell Cycle, Mitotic.	Plays a role in the normal development of the peripheral and central nervous system	same
A4GALT	The protein encoded by this gene catalyzes the transfer of galactose to lactosylceramide to form globotriaosylceramide, which has been identified as the P(k) antigen of the P blood group system. The encoded protein, which is a type II membrane protein found in the Golgi, is also required for the synthesis of the bacterial verotoxins receptor. [provided by RefSeq, Jul 2008]	A4GALT (Alpha 1,4-Galactosyltransferase) is a Protein Coding gene. Diseases associated with A4GALT include nor polyagglutination syndrome and caffey disease. Among its related pathways are Metabolism and Glycosphingolipid biosynthesis - globo series. GO annotations related to this gene include galactosyltransferase activity and lactosylceramide 4-alpha-galactosyltransferase activity. An important paralog of this gene is A4GNT.	Necessary for the biosynthesis of the Pk antigen of blood histogroup P. Catalyzes the transfer of galactose to lactosylceramide and galactosylceramide. Necessary for the synthesis of the receptor for bacterial verotoxins	same
A2ML1	This gene encodes a member of the alpha-macroglobulin superfamily. The encoded protein acts as an inhibitor for several proteases, and has been reported as the p170 antigen recognized by autoantibodies in the autoimmune disease paraneoplastic pemphigus (PNP; PMID: 20805888). Alternative splicing results in multiple transcript variants. [provided by RefSeq, Feb 2012]	A2ML1 (Alpha-2-Macroglobulin-Like 1) is a Protein Coding gene. Diseases associated with A2ML1 include noonan syndrome 1 and paraneoplastic pemphigus. GO annotations related to this gene include serine-type endopeptidase inhibitor activity and peptidase inhibitor activity. An important paralog of this gene is CD109.	Is able to inhibit all four classes of proteinases by a unique trapping mechanism. This protein has a peptide stretch, called the bait region which contains specific cleavage sites for different proteinases. When a proteinase cleaves the bait region, a conformational change is induced in the protein which traps the proteinase. The entrapped enzyme remains active against low molecular weight substrates (activity against high molecular weight substrates is greatly reduced). Following cleavage in the bait region a thioester bond is hydrolyzed and mediates the covalent binding of the protein to the proteinase (By similarity). Displays inhibitory activity against chymotrypsin, papain, thermolysin, subtilisin A and, to a lesser extent, elastase but not trypsin. May play an important role during desquamation by inhibiting extracellular proteases.	same
AADACL3	empty	AADACL3 (Arylacetamide Deacetylase-Like 3) is a Protein Coding gene. GO annotations related to this gene include hydrolase activity. An important paralog of this gene is AADAC.	empty	same
